oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E07000067,Braintree,307,13.58308475,61.13,150360,0.002567172,0.002041766,90.33708932,15.313,0.0285,24713.72,15.85828767,167,105.4687927,40,807369,9,143765,9,121265,18,601636,23,615156
E07000037,High Peak,164,9.351963769,50.55,91496,0.002480983,0.001792428,102.2117226,16.091,0.0707,27627.59,9.66343369,39,105.6159142,41,3125288,6,35644,4,11519,7,45644,10,54444
E07000222,Warwick,316,60.64731174,41.22,139931,0.003408823,0.002258256,433.4086924,11.699,0.0204,23315.06,14.80971728,151,105.8358568,42,2792480,22,442636,10,336025,29,655664,31,822464
E07000228,Mid Sussex,276,77.52606514,46.91,145651,0.00306898,0.001894941,532.2727969,7.615,0.0031,18142.08,15.48975143,159,106.3484043,43,10856674,59,3123220,59,4396544,99,6463819,104,6736376
E07000227,Horsham,306,57.4224301,48.54,135868,0.003275238,0.002252186,422.6339543,9.765,0,19164.97,14.45330809,149,106.377573,44,45288476.12,40,1196636,28,1896349.5,61,2353985,68,2459872.5
E07000205,Suffolk Coastal,471,54.52887142,53,125052,0.004526117,0.003766433,436.0495747,13.073,0.0206,23559.81,13.34276077,123,106.6976999,45,478701,23,1446512,17,1213351,40,2600316,44,6246801.06
E07000212,Runnymede,133,38.48888665,54.26,85594,0.002383345,0.001553847,449.6680451,10.943,0.0035,21312.66,9.151362419,32,106.9159336,46,923792,25,1362297,13,1313062,33,1491233,35,1497983
E07000152,East Northamptonshire,192,44.88280159,58.76,89746,0.002718784,0.002139371,500.1092148,14.154,0.038,25214.84,9.596430344,38,106.9287806,47,2061026,130,5319303,101,5367314,184,8016683,239,8597301.54
E07000124,Ribble Valley,145,23.63706807,56.39,58480,0.003009576,0.00247948,404.1906305,10.185,0,18562.51,6.293589667,6,107.6195223,48,494050,53,2238226,28,2052120.65,65,2566312,74,2668638.65
E07000151,Daventry,252,10.91925484,58.6,80014,0.003811833,0.003149449,136.4668038,13.502,0.048,26319.21,8.62280108,23,107.7661544,49,3366369.5,57,1431923,32,1169531,67,1796117,72,1817282
E07000173,Gedling,144,5.884968818,55.55,115889,0.001656758,0.001242568,50.78108205,15.272,0.0391,25590.6,12.49154584,107,107.7888828,50,6606275,46,1884508,31,2551005,68,2997125,71,3493828
E07000091,New Forest,353,26.89754654,57.76,179023,0.002982857,0.001971814,150.2463177,12.44,0.0232,23902.53,19.42240147,189,108.4910959,51,1103441,147,5009915,85,5008868,214,8922983,221,8972795
E07000237,Worcester,142,46.52908883,53.68,101328,0.00214156,0.00140139,459.1928078,19.902,0.1769,30752.62,11.02213259,70,108.7767704,52,140081,,,,,,,,
E07000200,Babergh,293,12.56953276,54.19,89215,0.004270582,0.003284201,140.8903521,15.148,0.0413,25750.4,9.748675898,40,109.2717133,53,523038,54,2842321,118,4463347.54,73,4637377,150,5269517.54
E07000005,Chiltern,293,27.81373315,44.98,94545,0.004590407,0.003099053,294.1851304,6.719,0.0007,16712.86,10.36574865,57,109.6382532,54,2668638.65,11,880919,12,906177,21,1180137,24,1209137
E07000094,Winchester,379,80.958305,41.07,120696,0.005261152,0.003140121,670.7621214,8.785,0.0028,19421.38,13.33384163,122,110.4745943,55,1817282,19,161921,14,959793,29,3295553,32,3366369.5
E07000210,Mole Valley,284,52.86674164,46.92,86104,0.004587476,0.003298337,613.987058,8.87,0.0046,19017.39,9.5216132,37,110.5827046,56,223520,70,2263694,222,5176455.5,113,5805912,483,7008647.8
E07000216,Waverley,303,113.0912696,41.61,123315,0.00424928,0.002457122,917.0925646,7.068,0.0045,16681.13,13.7054161,132,111.1415164,57,326135,25,418095,15,678790,36,1173530,36,1173530
E07000126,South Ribble,161,8.657324737,58.56,109651,0.001823969,0.001468295,78.95344992,13.702,0.042,25968.71,12.230096,96,111.536566,58,138885,7,64661,3,25604,11,137385,12,138885
E07000039,South Derbyshire,167,45.22616274,60.35,99319,0.00224529,0.001681451,455.362647,13.676,0.0472,26056.32,11.08158034,72,111.5756335,59,1314409,3,27754,2,17806,4,138326,4,138326
E07000195,Newcastle-under-Lyme,111,6.57197787,63.04,127045,0.001393207,0.000873706,51.72952788,18.472,0.1114,28516.03,14.20493377,142,111.8102544,60,37738,11,87889,4,179951,16,380470,19,558195
