oslaua,la_name,charity_count_local,charitable_spending_local,Pct_Leave,population,perhead_charity_count,perhead_charity_count_local,perhead_charitable_spending_local,IMD_average_score,IMD_extent,IMD_concentration,public_ core_spend_m,public_ core_spend_m_rank,public_core_spend_per_head,public_core_spend_per_head_rank,threesixty_total_amount,threesixty_blf,threesixty_blf_amount,threesixty_charity,threesixty_charity_amount,threesixty_national,threesixty_national_amount,threesixty_total,threesixty_total_amount
E06000005,Darlington,88,9.81509254,56.18,105389,0.00141381,0.000835002,93.13203978,23.639,0.2438,31736.09,80.54604067,205,764.2736972,268,930438,33,1395524,13,939169,39,1836287,39,1836287
E09000005,Brent,138,17.36146023,40.26,324012,0.00176228,0.00042591,53.58276925,26.655,0.2296,30467.61,247.7015926,298,764.4827741,269,1364164,164,6276656,113,7765832,219,9719253,227,10532778
E08000018,Rotherham,182,20.79158552,67.89,260786,0.001150369,0.00069789,79.72661692,28.279,0.3231,32267.14,199.661177,272,765.6130966,270,1784634.45,27,1257832,7,754848,34,1998105,34,1998105
E06000012,North East Lincolnshire,118,9.804835645,69.87,159570,0.00107163,0.000739487,61.44535718,30.898,0.3805,32621.31,122.788118,221,769.493752,271,1175629,51,1201229,24,1342768,69,2095658,69,2095658
E08000008,Tameside,142,29.60556063,61.14,221692,0.00106454,0.000640528,133.543658,29.38,0.3631,31652.21,170.9562283,255,771.1429745,272,775770,62,1863629,26,1845831,80,2995642,86,3233129
E06000019,"Herefordshire, County of",541,72.59813198,59.22,188099,0.004035109,0.002876145,385.9570332,19.737,0.0702,27522.77,145.1801929,240,771.8286269,273,222446,45,1831834,19,1278720,53,2156641,53,2156641
E06000038,Reading,170,25.33964795,41.97,161739,0.002213443,0.001051076,156.6699927,19.319,0.1137,28061.24,125.0799714,224,773.3445329,274,1023516,69,2975110,26,2008771,84,3594917,88,3705417
E06000047,County Durham,665,65.67921271,57.55,519695,0.001660589,0.001279597,126.3803052,25.741,0.2646,31246.44,402.0588405,320,773.6438498,275,2039165,79,3423839,31,4130264,94,4837659,98,5424501
E06000016,Leicester,188,23.37730287,48.92,342627,0.001558546,0.000548702,68.22959916,33.065,0.4175,32025.86,265.3683571,309,774.510932,276,943273,185,8700638,87,8525542,239,12285064,246,13046988
E08000013,St. Helens,120,12.91020116,58.02,177612,0.001035966,0.00067563,72.68766277,29.809,0.3729,32128.41,140.0171977,235,788.3318565,277,939400,79,8841579,268,9743710.99,127,12283595,470,15276748.41
E06000017,Rutland,114,55.25993122,50.57,38046,0.004179152,0.002996373,1452.450487,9.621,0,16795.13,30.06233113,203,790.1574707,278,1990303,44,3743148,88,4202714.62,62,4564502,151,5102609.75
E06000010,"Kingston upon Hull, City of",141,32.10352267,67.62,258995,0.001119713,0.000544412,123.9542179,41.235,0.5423,32690.77,205.1704672,275,792.1792591,279,351945,34,856964,65,1085939,43,998989,126,1389740.5
E06000023,"Bristol, City of",522,111.2786727,38.27,449328,0.002684008,0.001161735,247.655772,27.161,0.2901,32135.67,357.1502575,318,794.8542212,280,864844,45,1929483,110,2490901.5,68,2921491,190,3809211.5
E09000025,Newham,168,33.47222976,47.16,332817,0.001733685,0.000504782,100.572476,32.939,0.4197,30153.06,264.872146,308,795.8492084,281,208397,212,12509058,154,13219623,316,19440949,350,20694169
E08000014,Sefton,233,25.70472406,48.13,273707,0.001534488,0.000851275,93.91328706,25.732,0.2735,32177.11,218.6176269,282,798.7286657,282,1213461,61,2458962,37,2712501,91,3962872,92,4292872
E06000021,Stoke-on-Trent,117,12.22327836,69.36,251648,0.000937818,0.000464935,48.57292075,34.36,0.4882,32239.83,201.1246577,273,799.2301059,283,1378465.45,39,833945,24,756681,52,1055483,53,1058983
E08000015,Wirral,371,43.64684213,48.3,320900,0.001741976,0.001156123,136.0138427,26.892,0.3074,32458.74,258.9666933,305,807.0012256,284,1870630,55,1879215,36,1633579,78,3039118,80,3110367
E06000018,Nottingham,248,28.56238183,50.84,318901,0.001589835,0.000777671,89.56504316,36.927,0.5572,32235.74,257.3671613,304,807.044071,285,787464,44,905174,19,856921,59,1464577,61,1468177
E08000022,North Tyneside,143,12.67839253,53.4,202494,0.001442018,0.000706194,62.61120097,21.279,0.2001,30254.25,163.4371063,251,807.1207359,286,14611211,53,1606134,31,1541012,66,1916196,67,1949398
E06000052,Cornwall,1388,120.2525929,56.52,549404,0.003039658,0.002526374,218.8782624,23.833,0.1399,29658.96,444.7134448,324,809.4470459,287,3137735,37,1197237,20,1035509,56,2101088,61,2372088
E09000011,Greenwich,179,33.65618196,44.41,274803,0.002012351,0.000651376,122.473852,25.544,0.2287,29003.06,222.5612433,286,809.8937905,288,447662,122,8094823,92,9179936,176,10436115,183,11066992
E09000027,Richmond upon Thames,237,67.36177664,30.71,194730,0.002952806,0.00121707,345.9239801,10.037,0.0084,21254.97,157.7833845,250,810.2674703,289,54025,51,2202282,21,1757965,76,2792480,76,2792480
E08000025,Birmingham,835,365.8749081,50.42,1111307,0.001549527,0.000751368,329.2293742,37.768,0.5577,32300.7,901.9199439,326,811.5848671,290,2170909.9,103,3412249,27,2322258,120,3998404,121,4271406
E06000006,Halton,78,7.463786835,57.42,126528,0.001035344,0.000616464,58.98921057,31.943,0.4494,32271.27,102.7399712,211,811.9939555,291,2662590,147,12448624,99,14660557,222,17268560,233,17718376
E06000055,Bedford,161,55.68848074,51.78,166252,0.003187932,0.000968409,334.9642756,19.238,0.1453,29629,135.7490131,231,816.5255943,292,1949398,49,1937989,27,1389749,68,2635060,71,2662590
E08000004,Oldham,144,10.93141382,60.86,230823,0.001074416,0.000623855,47.35842537,30.291,0.4062,32200.79,188.6392106,268,817.2461609,293,2858970,57,2268227,92,3184112.5,77,3682819,210,5438743.5
E08000003,Manchester,298,246.1671569,39.64,530292,0.001595347,0.000561955,464.21058,40.512,0.5938,32571.18,434.6269101,322,819.599221,294,7196048,7,3680279,55,9492401,31,8627519,62,10046251
E08000028,Sandwell,138,23.62754506,66.72,319455,0.000910926,0.000431986,73.96204492,34.614,0.5161,31586.46,262.7210852,306,822.4040481,295,1045948,23,1681841,17,2355517,31,2503069,37,2894765
E06000008,Blackburn with Darwen,135,18.89628083,56.34,146846,0.001477739,0.00091933,128.6809367,34.189,0.5001,32336.37,120.8085076,218,822.6884464,296,894256,43,2593194,47,2981546,59,3367768,82,4095346
E08000030,Walsall,175,16.91924201,67.86,276095,0.001090204,0.00063384,61.28050856,30.37,0.4477,31516.97,227.5807288,288,824.284137,297,917237,14,867266,14,720343,22,1294179,24,1427979
E08000005,Rochdale,132,7.130403621,60.07,214195,0.001195173,0.000616261,33.28930937,33.684,0.4473,32370.91,177.7066376,258,829.6488602,298,1382842,28,1809211,39,2823946,47,9035238,60,9386476
E08000024,Sunderland,188,13.02003422,61.34,277150,0.001071622,0.000678333,46.97829414,29.725,0.3725,31877.19,232.4046438,292,838.5518448,299,283282,19,1134891,13,1240060,29,1617637,33,1719637
E09000023,Lewisham,185,33.02579576,30.14,297325,0.001853191,0.000622215,111.0764173,28.591,0.3141,29712.05,250.7969306,300,843.5110758,300,613910,45,6966257,149,31777857.12,121,17255760,199,45288476.12
E06000057,Northumberland,625,60.24420646,54.11,315263,0.00266127,0.001982472,191.0919025,20.525,0.1782,30553.86,266.0621148,310,843.9370139,301,110410,30,2212208,32,2563896,48,3294823,54,3483089
E09000014,Haringey,168,50.58715555,24.43,272864,0.002213557,0.000615691,185.3932932,31.043,0.4134,31184.54,230.8470466,291,846.0150353,302,1469063,25,1362180,23,1013945,39,1919219,44,1972029
E08000021,Newcastle upon Tyne,227,67.79364295,49.3,292883,0.001915441,0.000775054,231.470051,28.264,0.3496,32428.87,248.3414363,299,847.9202832,303,1199925.44,37,691812,25,971063,50,1467539,60,1757651
E06000027,Torbay,173,11.52126031,63.16,133373,0.001776971,0.001297114,86.38375316,28.788,0.3104,32060.71,113.0943742,213,847.9555397,304,1928978,38,1500195,27,1935464,55,2890102,67,3541021
E06000003,Redcar and Cleveland,108,5.176222422,66.19,135275,0.001197561,0.000798374,38.26444223,28.567,0.3394,32420.92,114.9803976,214,849.9752179,305,991024,96,8055167,166,23634939.5,173,21884542,218,24872556.5
E09000033,Westminster,289,483.1385441,31.03,242299,0.010181635,0.001192741,1993.976633,27.686,0.2943,31414.5,210.9434331,277,870.5914308,306,1367443,13,1411723,50,5623889,46,5544732,69,6271072
E08000031,Wolverhampton,173,29.95892946,62.57,254406,0.001159564,0.000680015,117.7603101,33.183,0.4921,31831.15,221.7803041,284,871.7573646,307,1474909,35,1149817,43,1682897,57,1935534.09,70,2257574.09
E08000006,Salford,161,24.93156947,56.81,245614,0.001799572,0.0006555,101.5071188,32.959,0.4339,32419.02,214.2885433,280,872.4606224,308,2183447,12,1125994,23,2123394,25,2413698,33,2613198
E06000002,Middlesbrough,74,5.068951518,65.48,139509,0.001118207,0.000530432,36.33422588,40.216,0.5604,32745.35,122.2758672,220,876.4729673,309,77449,19,1061014,16,1303755,24,1318840,28,1481740
E08000037,Gateshead,164,22.92799443,56.85,200996,0.001512468,0.000815937,114.0718941,25.932,0.2735,31346.78,178.1515707,260,886.3438611,310,22795914.34,10,89585,10,244688,18,631607,22,754707
E06000001,Hartlepool,68,3.023337859,69.57,92493,0.001081163,0.000735191,32.68720724,33.178,0.4589,32428.23,82.98212569,207,897.1719556,311,603056,14,625601,13,1044786,20,1138697,26,1491647
E09000022,Lambeth,212,47.95636611,21.38,324431,0.002595313,0.000653452,147.8168427,28.913,0.3069,29841.72,293.7203035,316,905.3398211,312,2484178,75,13929850,222,40532984,176,37607606,275,43385237
E06000046,Isle of Wight,289,30.77720541,61.95,139395,0.002474981,0.002073245,220.7913154,23.087,0.156,28875.42,126.5629606,226,907.9447656,313,5269517.54,25,8279771,45,5018651,46,10534922,66,13749397
E09000013,Hammersmith and Fulham,138,85.88497443,29.98,179410,0.002625272,0.000769188,478.7078448,24.362,0.2133,29782.95,163.9362499,252,913.75202,314,6753805,14,2028809,16,2305514,25,2518701,27,2524701
E08000012,Liverpool,354,61.58562317,41.81,478580,0.001815788,0.000739688,128.684072,41.126,0.5937,32666.4,437.851108,323,914.8963768,315,615156,76,5124475,177,16580152.2,136,13014518,273,18055488.5
E08000023,South Tyneside,83,4.433010428,62.05,148671,0.000860961,0.00055828,29.81758667,30.608,0.4319,31300.48,136.1861395,232,916.0235655,316,3233129,34,2659121,35,2849955,46,3290277,62,3755777
E06000009,Blackpool,68,3.526958447,67.46,139578,0.000802419,0.000487183,25.2687275,41.997,0.5075,32832.78,131.4157172,228,941.5217097,317,150982,11,657021,14,1157058,16,917162,26,1280481
E09000028,Southwark,227,94.52763098,27.19,308901,0.003311741,0.000734863,306.0127063,29.489,0.371,29502.65,291.3871381,315,943.3026701,318,54444,40,5205901,81,14065096,71,13798287,100,15085437
E09000030,Tower Hamlets,261,111.0840323,32.54,295236,0.002577599,0.000884039,376.2550377,35.657,0.5738,31114.69,282.8603706,313,958.0822481,319,2372088,23,554596,29,1598423,41,1855769,47,2084569
E09000012,Hackney,241,54.277776,21.52,269009,0.00451286,0.000895881,201.7693683,35.28,0.5155,31013.43,266.2609348,311,989.784486,320,3181320,12,98642,18,1324675,20,1420733,27,1654603
E09000019,Islington,201,67.16990025,24.78,227692,0.004773993,0.000882771,295.0033389,32.534,0.4186,30884.17,229.8929859,290,1009.666505,321,549785,56,3337320,136,11756478,130,11051848,195,13649333
E08000011,Knowsley,83,56.20716265,51.56,147231,0.000849006,0.00056374,381.7617394,41.387,0.5737,32701.91,150.489657,247,1022.132954,322,767332,10,510540,6,819161,15,842438,19,930438
E09000007,Camden,265,186.4558732,25.06,241059,0.006683011,0.001099316,773.4864627,24.959,0.253,29690.49,251.3908214,301,1042.860135,323,558195,71,6299456,123,12303534,134,11628926,185,14611211
E09000020,Kensington and Chelsea,170,86.58969065,31.31,157711,0.004565313,0.001077921,549.040274,23.376,0.2206,30574.41,166.2455625,253,1054.115201,324,401117,26,1656783,29,2517489,39,2176920,48,2858970
E06000053,Isles of Scilly,13,0.557949671,43.61,2324,0.006454389,0.005593804,240.081614,12.013,0,11056,4.757987393,2,2047.326761,325,3131973,31,2875113,49,6028138,61,5835279,75,7196048
